num, fine_vector_0, fine_vector_1, fine_vector_2, fine_vector_3, fine_vector_4, fine_vector_5, fitness
0, 10.0, 10.0, 0.0, 2.15, 10.0, 2.99, 690784.719874756
1, 0.0, 8.35, 8.27, 0.0, 10.0, 2.31, 689187.7161256396
2, 10.0, 10.0, 0.0, 10.0, 10.0, 2.39, 690522.7173747526
3, 10.0, 10.0, 0.0, 0.0, 0.0, 0.89, 684653.1404999995
4, 0.0, 0.0, 0.0, 0.0, 0.0, 1.16, 685001.7443749972
5, 0.0, 0.0, 0.0, 0.92, 2.13, 2.42, 693189.7769997458
6, 0.0, 0.0, 0.0, 1.05, 9.65, 9.88, 692816.5147497467
7, 0.0, 0.01, 0.0, 1.02, 10.0, 2.36, 693046.2804997485
8, 10.0, 9.97, 0.0, 0.83, 9.52, 10.0, 691075.328499753
9, 10.0, 10.0, 1.52, 3.17, 10.0, 10.0, 614462.3995001161
10, 10.0, 10.0, 10.0, 0.0, 10.0, 10.0, 687488.1293756368
11, 10.0, 9.98, 9.93, 0.0, 10.0, 1.51, 689472.8815006411
12, 10.0, 0.01, 0.0, 0.0, 0.78, 1.59, 691462.8973756449
13, 0.0, 10.0, 0.0, 0.0, 9.92, 1.57, 690966.4565006441
14, 10.0, 10.0, 0.0, 0.94, 10.0, 2.31, 691856.9801247509
15, 10.0, 9.52, 10.0, 0.0, 10.0, 1.53, 689431.5168756422
16, 10.0, 8.1, 0.0, 0.81, 9.86, 9.99, 690901.4009997537
17, 10.0, 10.0, 0.0, 0.0, 0.0, 0.87, 684607.5112499988
18, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 673254.4881249992
19, 10.0, 0.0, 0.0, 0.0, 1.15, 10.0, 691208.5737506446
