num, fine_vector_0, fine_vector_1, fine_vector_2, fine_vector_3, fine_vector_4, fine_vector_5, fitness
0, 0.0, 0.0, 0.0, 0.0, 0.85, 1.64, 691692.3250006445
15, 10.0, 0.0, 10.0, 10.0, 0.0, 1.19, 683697.7078749988
1, 0.0, 0.0, 0.0, 0.0, 0.93, 1.63, 691706.6386256437
16, 10.0, 10.0, 10.0, 0.0, 0.0, 0.85, 684150.0349999999
2, 0.0, 0.76, 10.0, 0.0, 1.34, 1.64, 690789.5798756427
17, 10.0, 10.0, 10.0, 0.0, 0.81, 10.0, 689802.1796256399
3, 4.22, 0.0, 0.0, 0.0, 1.11, 1.68, 691019.2850006443
4, 0.0, 0.0, 0.0, 0.0, 10.0, 1.64, 691389.1817506416
18, 10.0, 0.01, 9.9, 0.0, 0.83, 1.58, 690981.2373756418
5, 10.0, 0.0, 0.0, 0.0, 10.0, 1.68, 691078.001875644
19, 0.0, 0.0, 0.0, 0.0, 0.84, 1.66, 691677.5655006438
6, 10.0, 0.0, 0.0, 0.87, 9.99, 9.92, 692332.5509997486
7, 1.55, 1.67, 0.0, 1.55, 1.99, 3.3, 691814.9546247518
8, 10.0, 0.0, 0.0, 0.0, 0.84, 10.0, 691335.5477506432
9, 0.0, 0.0, 0.0, 0.0, 0.8, 1.53, 691439.4818756435
10, 0.0, 0.0, 0.0, 0.8, 10.0, 9.99, 692895.9101247467
11, 0.0, 0.0, 0.0, 1.92, 3.39, 3.07, 692420.8793747474
12, 0.0, 10.0, 0.0, 0.0, 0.94, 1.68, 691338.8238756432
13, 4.68, 0.03, 0.05, 0.0, 0.85, 1.85, 691022.9136256442
14, 10.0, 0.0, 0.0, 1.09, 1.65, 3.97, 692546.1043747498
15, 0.0, 10.0, 0.0, 1.18, 1.66, 10.0, 692553.8519997497
16, 0.0, 0.0, 0.0, 0.94, 10.0, 10.0, 692881.051874747
17, 0.72, 0.9, 10.0, 10.0, 0.85, 2.0, 641605.5837506012
18, 5.85, 10.0, 0.0, 1.17, 2.06, 10.0, 691198.1293747523
19, 0.0, 0.0, 0.0, 0.0, 0.88, 1.6, 691715.0960006447
