best_policy, fitness, final_choices
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 0.55, 1.35]}, 680745.3222499974, [{'sheep_count': [4, 3, 3, 3]}, {'sheep_count': [3, 4, 3, 3]}, {'sheep_count': [3, 3, 4, 3]}, {'sheep_count': [3, 3, 4, 3]}, {'sheep_count': [3, 4, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 0.55, 1.35]}, 682547.4468751252, [{'sheep_count': [3, 3, 4, 3]}, {'sheep_count': [4, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 4, 3]}, {'sheep_count': [3, 3, 3, 4]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689592.3511256414, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689616.4572506414, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689622.2735006415, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689603.5150006413, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689617.7030006412, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689600.5580006414, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689581.0368756412, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689581.8888756413, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689567.3200006412, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689614.9658756412, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689597.6937506412, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689563.7171256413, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689575.1002506415, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689589.5330006413, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689567.2761256412, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
{'fine_vector': [2.91, 0.0, 2.94, 0.0, 1.15, 4.29]}, 689563.7456256414, [{'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}, {'sheep_count': [3, 3, 3, 3]}],
