run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
0,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777949.474999996
0,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777949.474999996
0,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777949.474999996
0,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777949.474999996
1,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777976.237499996
1,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777976.237499996
1,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777976.237499996
1,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777976.237499996
2,50000,4,1,0,2,2,0.4468749999999999,55.6,2779694.3875025897
2,50000,4,1,1,1,1,-0.5531250000000001,55.6,2779694.3875025897
2,50000,4,1,2,3,3,1.446875,55.6,2779694.3875025897
2,50000,4,1,3,1,1,-0.5531250000000001,55.6,2779694.3875025897
3,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777916.7749999957
3,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777916.7749999957
3,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777916.7749999957
3,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777916.7749999957
4,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777972.7374999947
4,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777972.7374999947
4,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777972.7374999947
4,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777972.7374999947
5,50000,4,1,0,1,1,-0.5531250000000001,55.6,2779706.387502592
5,50000,4,1,1,2,2,0.4468749999999999,55.6,2779706.387502592
5,50000,4,1,2,2,2,0.4468749999999999,55.6,2779706.387502592
5,50000,4,1,3,2,2,0.4468749999999999,55.6,2779706.387502592
6,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777970.587499996
6,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777970.587499996
6,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777970.587499996
6,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777970.587499996
7,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777966.9499999965
7,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777966.9499999965
7,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777966.9499999965
7,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777966.9499999965
8,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777954.3249999965
8,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777954.3249999965
8,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777954.3249999965
8,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777954.3249999965
9,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777971.112499995
9,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777971.112499995
9,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777971.112499995
9,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777971.112499995
10,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777969.174999996
10,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777969.174999996
10,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777969.174999996
10,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777969.174999996
11,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777959.5624999953
11,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777959.5624999953
11,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777959.5624999953
11,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777959.5624999953
12,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777962.2874999954
12,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777962.2874999954
12,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777962.2874999954
12,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777962.2874999954
13,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777960.162499996
13,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777960.162499996
13,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777960.162499996
13,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777960.162499996
14,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777959.1374999955
14,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777959.1374999955
14,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777959.1374999955
14,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777959.1374999955
15,50000,4,1,0,2,2,0.4468749999999999,55.6,2779721.0125025897
15,50000,4,1,1,1,1,-0.5531250000000001,55.6,2779721.0125025897
15,50000,4,1,2,2,2,0.4468749999999999,55.6,2779721.0125025897
15,50000,4,1,3,2,2,0.4468749999999999,55.6,2779721.0125025897
16,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777948.724999995
16,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777948.724999995
16,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777948.724999995
16,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777948.724999995
17,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777956.799999996
17,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777956.799999996
17,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777956.799999996
17,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777956.799999996
18,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777935.949999995
18,50000,4,1,1,0,0,-1.3125000000000002,55.5625,2777935.949999995
18,50000,4,1,2,3,3,1.6874999999999998,55.5625,2777935.949999995
18,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777935.949999995
19,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777984.7124999957
19,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777984.7124999957
19,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777984.7124999957
19,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777984.7124999957
20,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777966.5124999955
20,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777966.5124999955
20,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777966.5124999955
20,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777966.5124999955
21,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777963.0999999954
