run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
0,50000,4,1,0,5,5,-0.25,13.453125,673657.3812500024
0,50000,4,1,1,5,5,-0.25,13.453125,673657.3812500024
0,50000,4,1,2,5,5,-0.25,13.453125,673657.3812500024
0,50000,4,1,3,5,5,-0.25,13.453125,673657.3812500024
1,50000,4,1,0,5,5,-0.25,13.453125,673625.2875000027
1,50000,4,1,1,5,5,-0.25,13.453125,673625.2875000027
1,50000,4,1,2,5,5,-0.25,13.453125,673625.2875000027
1,50000,4,1,3,5,5,-0.25,13.453125,673625.2875000027
2,50000,4,1,0,5,5,-0.25,13.453125,673650.553125003
2,50000,4,1,1,5,5,-0.25,13.453125,673650.553125003
2,50000,4,1,2,5,5,-0.25,13.453125,673650.553125003
2,50000,4,1,3,5,5,-0.25,13.453125,673650.553125003
3,50000,4,1,0,5,5,-0.25,13.453125,673614.3750000024
3,50000,4,1,1,5,5,-0.25,13.453125,673614.3750000024
3,50000,4,1,2,5,5,-0.25,13.453125,673614.3750000024
3,50000,4,1,3,5,5,-0.25,13.453125,673614.3750000024
4,50000,4,1,0,5,5,-0.25,13.453125,673614.8031250025
4,50000,4,1,1,5,5,-0.25,13.453125,673614.8031250025
4,50000,4,1,2,5,5,-0.25,13.453125,673614.8031250025
4,50000,4,1,3,5,5,-0.25,13.453125,673614.8031250025
5,50000,4,1,0,5,5,-0.25,13.453125,673633.7000000027
5,50000,4,1,1,5,5,-0.25,13.453125,673633.7000000027
5,50000,4,1,2,5,5,-0.25,13.453125,673633.7000000027
5,50000,4,1,3,5,5,-0.25,13.453125,673633.7000000027
6,50000,4,1,0,5,5,-0.25,13.453125,673650.8312500032
6,50000,4,1,1,5,5,-0.25,13.453125,673650.8312500032
6,50000,4,1,2,5,5,-0.25,13.453125,673650.8312500032
6,50000,4,1,3,5,5,-0.25,13.453125,673650.8312500032
7,50000,4,1,0,5,5,-0.25,13.453125,673651.0718750028
7,50000,4,1,1,5,5,-0.25,13.453125,673651.0718750028
7,50000,4,1,2,5,5,-0.25,13.453125,673651.0718750028
7,50000,4,1,3,5,5,-0.25,13.453125,673651.0718750028
8,50000,4,1,0,5,5,-0.25,13.453125,673631.2781250026
8,50000,4,1,1,5,5,-0.25,13.453125,673631.2781250026
8,50000,4,1,2,5,5,-0.25,13.453125,673631.2781250026
8,50000,4,1,3,5,5,-0.25,13.453125,673631.2781250026
9,50000,4,1,0,5,5,-0.25,13.453125,673640.1812500028
9,50000,4,1,1,5,5,-0.25,13.453125,673640.1812500028
9,50000,4,1,2,5,5,-0.25,13.453125,673640.1812500028
9,50000,4,1,3,5,5,-0.25,13.453125,673640.1812500028
10,50000,4,1,0,5,5,-0.25,13.453125,673631.9750000028
10,50000,4,1,1,5,5,-0.25,13.453125,673631.9750000028
10,50000,4,1,2,5,5,-0.25,13.453125,673631.9750000028
10,50000,4,1,3,5,5,-0.25,13.453125,673631.9750000028
11,50000,4,1,0,5,5,-0.25,13.453125,673652.1468750027
11,50000,4,1,1,5,5,-0.25,13.453125,673652.1468750027
11,50000,4,1,2,5,5,-0.25,13.453125,673652.1468750027
11,50000,4,1,3,5,5,-0.25,13.453125,673652.1468750027
12,50000,4,1,0,5,5,-0.25,13.453125,673633.3625000028
12,50000,4,1,1,5,5,-0.25,13.453125,673633.3625000028
12,50000,4,1,2,5,5,-0.25,13.453125,673633.3625000028
12,50000,4,1,3,5,5,-0.25,13.453125,673633.3625000028
13,50000,4,1,0,5,5,-0.25,13.453125,673650.5343750026
13,50000,4,1,1,5,5,-0.25,13.453125,673650.5343750026
13,50000,4,1,2,5,5,-0.25,13.453125,673650.5343750026
13,50000,4,1,3,5,5,-0.25,13.453125,673650.5343750026
14,50000,4,1,0,5,5,-0.25,13.453125,673651.1250000026
14,50000,4,1,1,5,5,-0.25,13.453125,673651.1250000026
