run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
0,50000,4,1,0,3,3,-0.059374999999999956,13.5171875,674490.9007818796
0,50000,4,1,1,2,2,-0.3125,13.5171875,674490.9007818796
0,50000,4,1,2,3,3,-0.059374999999999956,13.5171875,674490.9007818796
0,50000,4,1,3,2,2,-0.3125,13.5171875,674490.9007818796
1,50000,4,1,0,2,2,0.19999999999999996,13.903125,693202.1679684983
1,50000,4,1,1,2,2,0.19999999999999996,13.903125,693202.1679684983
1,50000,4,1,2,2,2,0.19999999999999996,13.903125,693202.1679684983
1,50000,4,1,3,2,2,0.19999999999999996,13.903125,693202.1679684983
2,50000,4,1,0,2,2,-0.05312500000000009,13.713281250000001,684360.4999993606
2,50000,4,1,1,2,2,-0.05312500000000009,13.713281250000001,684360.4999993606
2,50000,4,1,2,2,2,-0.05312500000000009,13.713281250000001,684360.4999993606
2,50000,4,1,3,3,3,0.19999999999999996,13.713281250000001,684360.4999993606
3,50000,4,1,0,3,3,-0.059374999999999956,13.5171875,674921.8007818824
3,50000,4,1,1,3,3,-0.059374999999999956,13.5171875,674921.8007818824
3,50000,4,1,2,2,2,-0.3125,13.5171875,674921.8007818824
3,50000,4,1,3,2,2,-0.3125,13.5171875,674921.8007818824
4,50000,4,1,0,3,3,-0.059374999999999956,13.5171875,674814.0507818812
4,50000,4,1,1,2,2,-0.3125,13.5171875,674814.0507818812
4,50000,4,1,2,3,3,-0.059374999999999956,13.5171875,674814.0507818812
4,50000,4,1,3,2,2,-0.3125,13.5171875,674814.0507818812
5,50000,4,1,0,2,2,-0.3125,13.51875,674788.722656447
5,50000,4,1,1,2,2,-0.3125,13.51875,674788.722656447
5,50000,4,1,2,4,4,0.19999999999999996,13.51875,674788.722656447
5,50000,4,1,3,2,2,-0.3125,13.51875,674788.722656447
6,50000,4,1,0,3,3,-0.059374999999999956,13.5171875,674784.8781256324
6,50000,4,1,1,3,3,-0.059374999999999956,13.5171875,674784.8781256324
6,50000,4,1,2,2,2,-0.3125,13.5171875,674784.8781256324
6,50000,4,1,3,2,2,-0.3125,13.5171875,674784.8781256324
7,50000,4,1,0,2,2,0.19999999999999996,13.903125,693265.5304684981
7,50000,4,1,1,2,2,0.19999999999999996,13.903125,693265.5304684981
7,50000,4,1,2,2,2,0.19999999999999996,13.903125,693265.5304684981
7,50000,4,1,3,2,2,0.19999999999999996,13.903125,693265.5304684981
8,50000,4,1,0,2,2,-0.3125,13.51875,674413.223437694
8,50000,4,1,1,4,4,0.19999999999999996,13.51875,674413.223437694
8,50000,4,1,2,2,2,-0.3125,13.51875,674413.223437694
8,50000,4,1,3,2,2,-0.3125,13.51875,674413.223437694
9,50000,4,1,0,3,3,-0.32499999999999996,13.31640625,664685.7921875005
9,50000,4,1,1,2,2,-0.578125,13.31640625,664685.7921875005
9,50000,4,1,2,4,4,-0.06562500000000004,13.31640625,664685.7921875005
9,50000,4,1,3,2,2,-0.578125,13.31640625,664685.7921875005
10,50000,4,1,0,2,2,-0.3125,13.517187499999999,674076.085156879
10,50000,4,1,1,2,2,-0.3125,13.517187499999999,674076.085156879
10,50000,4,1,2,3,3,-0.059374999999999956,13.517187499999999,674076.085156879
10,50000,4,1,3,3,3,-0.059374999999999956,13.517187499999999,674076.085156879
11,50000,4,1,0,2,2,-0.3125,13.517187499999999,674695.8351568821
11,50000,4,1,1,2,2,-0.3125,13.517187499999999,674695.8351568821
11,50000,4,1,2,3,3,-0.059374999999999956,13.517187499999999,674695.8351568821
11,50000,4,1,3,3,3,-0.059374999999999956,13.517187499999999,674695.8351568821
12,50000,4,1,0,2,2,-0.3125,13.51875,674522.6828126953
12,50000,4,1,1,2,2,-0.3125,13.51875,674522.6828126953
12,50000,4,1,2,2,2,-0.3125,13.51875,674522.6828126953
12,50000,4,1,3,4,4,0.19999999999999996,13.51875,674522.6828126953
13,50000,4,1,0,4,4,0.19999999999999996,13.51875,674894.733593947
13,50000,4,1,1,2,2,-0.3125,13.51875,674894.733593947
13,50000,4,1,2,2,2,-0.3125,13.51875,674894.733593947
13,50000,4,1,3,2,2,-0.3125,13.51875,674894.733593947
14,50000,4,1,0,2,2,-0.578125,13.31953125,664711.0234376764
14,50000,4,1,1,5,5,0.20000000000000018,13.31953125,664711.0234376764
14,50000,4,1,2,2,2,-0.578125,13.31953125,664711.0234376764
14,50000,4,1,3,2,2,-0.578125,13.31953125,664711.0234376764
15,50000,4,1,0,3,3,-0.059374999999999956,13.5171875,674783.2257818821
15,50000,4,1,1,2,2,-0.3125,13.5171875,674783.2257818821
15,50000,4,1,2,3,3,-0.059374999999999956,13.5171875,674783.2257818821
15,50000,4,1,3,2,2,-0.3125,13.5171875,674783.2257818821
